"word";"order_id";"qtd_meanings";"qtd_images";"new_words_to_search"
"blow over";"250";"3";"0";"0"
"blow up";"251";"9";"5";"0"
"come to blows (with somebody)";"252";"1";"0";"0"
"soften/cushion the blow";"253";"1";"0";"0"
"low blow";"254";"1";"0";"0"
"strike a blow for somebody/something";"255";"1";"0";"0"
"branch off";"256";"3";"0";"0"
"branch out";"257";"1";"0";"0"
"smoke like a chimney";"258";"1";"0";"0"
"chop and change";"259";"1";"0";"0"
"chop at";"260";"1";"0";"0"
"the chop";"261";"1";"0";"0"
"chops";"262";"1";"0";"0"
"the chops";"263";"1";"0";"0"
"a chorus of thanks/disapproval/protest etc";"264";"1";"0";"0"
"in chorus";"265";"1";"0";"0"
"clotted cream";"266";"1";"5";"0"
"carry/take coals to Newcastle";"267";"1";"0";"0"
"haul/rake/drag somebody over the coals";"268";"1";"0";"0"
"make somebody’s hair curl";"269";"1";"0";"0"
"curl up";"270";"2";"0";"0"
"be firing/running on all cylinders";"271";"1";"0";"0"
"be deaf to something";"272";"1";"0";"0"
"turn a deaf ear (to something)";"273";"1";"0";"0"
"fall on deaf ears";"274";"1";"0";"0"
"on edge";"275";"1";"0";"0"
"on the edge of something";"276";"1";"0";"0"
"take the edge off something";"277";"1";"0";"0"
"on the edge of your seat";"278";"2";"0";"0"
"be on the edge";"279";"1";"0";"0"
"cutting edge";"280";"1";"5";"0"
"fancy yourself";"281";"1";"0";"0"
"fancy yourself (as) something";"282";"1";"0";"0"
"fancy!/fancy that!";"283";"1";"0";"0"
"flight of fancy/imagination/fantasy";"284";"1";"0";"0"
"in a fashion";"285";"1";"0";"0"
"after a fashion";"286";"1";"0";"0"
"after the fashion of somebody";"287";"1";"0";"0"
"parrot fashion";"288";"1";"0";"0"
"be in/out of the frame (for something)";"289";"1";"0";"0"
"climbing frame";"290";"1";"5";"0"
"cold frame";"291";"1";"5";"0"
"state/frame of mind";"292";"1";"0";"0"
"gilt-framed/wood-framed etc";"293";"1";"0";"0"
"a fresh start";"294";"1";"0";"0"
"fresh air";"295";"1";"0";"1"
"fresh water";"296";"1";"0";"0"
"fresh from something";"297";"1";"0";"0"
"get/be fresh with somebody";"298";"1";"0";"0"
"fresh-made/fresh-cut/fresh-grated etc";"299";"1";"0";"0"
"be fresh out of something";"300";"1";"0";"0"
"reap a harvest";"301";"1";"0";"0"
"be under house arrest";"302";"1";"0";"0"
"hunger for/after";"303";"1";"0";"0"
"in jeopardy";"304";"1";"0";"0"
"cut loose";"305";"1";"0";"0"
"let somebody loose on something";"306";"1";"0";"0"
"be at a loose end";"307";"1";"0";"0"
"loose ends";"308";"1";"0";"0"
"loose change";"309";"1";"0";"0"
"loose cannon";"310";"1";"0";"0"
"hang/stay loose";"311";"1";"0";"0"
"be on the loose";"312";"1";"0";"0"
"the Mob";"313";"2";"0";"0"
"mob of sheep/cattle";"314";"1";"0";"0"
"noble gas/metal";"315";"1";"0";"0"
"noble savage";"316";"1";"0";"0"
"have a nodding acquaintance (with something)";"317";"1";"0";"0"
"have a nodding acquaintance (with somebody)";"318";"1";"0";"0"
"nod off";"319";"1";"0";"0"
"give somebody the nod/get the nod from somebody";"320";"1";"0";"0"
"on the nod";"321";"1";"0";"0"
"land of nod";"322";"1";"0";"0"
"overturn a decision/verdict etc";"323";"1";"0";"0"
"put/keep somebody in the picture";"324";"1";"0";"0"
"get the picture";"325";"1";"0";"0"
"out of the picture";"326";"1";"0";"0"
"be the picture of health/innocence/despair etc";"327";"1";"0";"0"
"be/look a picture";"328";"1";"0";"0"
"pretty as a picture";"329";"1";"0";"0"
"you could hear a pin drop";"330";"2";"0";"0"
"pins";"331";"1";"0";"0"
"drawing pin";"332";"1";"5";"0"
"pin money";"333";"1";"5";"0"
"pins and needles";"334";"1";"5";"0"
"rolling pin";"335";"1";"5";"0"
"safety pin";"336";"1";"5";"0"
"pool of water/blood/light etc";"337";"1";"0";"0"
"the pools";"338";"1";"0";"0"
"coffee pot";"339";"1";"5";"0"
"go to pot";"340";"1";"0";"0"
"pots of money";"341";"1";"0";"0"
"the pot";"342";"1";"0";"0"
"(a case of) the pot calling the kettle black";"343";"1";"0";"0"
"chamber pot";"344";"1";"5";"0"
"chimney pot";"345";"1";"5";"0"
"flowerpot";"346";"1";"5";"0"
"lobsterpot";"347";"1";"5";"0"
"melting pot";"348";"2";"5";"0"
"this/that puppy";"349";"1";"0";"0"
"be remembered for/as something";"350";"1";"0";"0"
"remember me to somebody";"351";"1";"0";"0"
"let me remind you/may I remind you (that)";"352";"1";"0";"0"
"a roof over your head";"353";"1";"0";"0"
"go through the roof";"354";"1";"0";"0"
"under the same roof/under one roof";"355";"1";"0";"0"
"the roof falls/caves in";"356";"1";"0";"0"
"raise the roof";"357";"1";"0";"0"
"sunroof";"358";"1";"5";"0"
"not a sausage!";"359";"1";"0";"0"
"seeds of something";"360";"1";"0";"0"
"go/run to seed";"361";"1";"0";"0"
"number one/two/three etc seed";"362";"1";"0";"0"
"seed itself";"363";"1";"0";"0"
"shake your head";"364";"1";"0";"0"
"shake your fist (at somebody)";"365";"1";"0";"0"
"shake a leg";"366";"1";"0";"0"
"shake down";"367";"3";"0";"0"
"shake out";"368";"3";"0";"0"
"the shakes";"369";"1";"0";"0"
"in a couple of shakes/two shakes";"370";"1";"0";"0"
"no great shakes";"371";"1";"0";"0"
"get/give somebody a fair shake";"372";"1";"0";"0"
"shrink from";"373";"1";"0";"0"
"not a pretty sight";"374";"1";"0";"0"
"in/within sight";"375";"1";"0";"0"
"within/in sight of something";"376";"1";"0";"0"
"in your sights";"377";"1";"0";"0"
"out of sight";"378";"1";"0";"0"
"out of sight, out of mind";"379";"1";"0";"0"
"disappear/vanish from sight";"380";"1";"0";"0"
"come into sight";"381";"1";"0";"0"
"on sight";"382";"1";"0";"0"
"not let somebody out of your sight";"383";"1";"0";"0"
"a sight for sore eyes";"384";"1";"0";"0"
"a (damn/darned/darn) sight more/better etc";"385";"1";"0";"0"
"be a sight";"386";"1";"0";"0"
"sight unseen";"387";"1";"0";"0"
"be a (beautiful/strange/frightening etc) sight to behold";"388";"1";"0";"0"
"at first glance/sight";"389";"2";"0";"0"
"set your heart/mind/sights on (doing) something";"390";"1";"0";"0"
"slum it/be slumming";"391";"1";"0";"0"
"be born with a silver spoon in your mouth";"392";"1";"0";"0"
"dessertspoon";"393";"2";"5";"0"
"greasy spoon";"394";"1";"5";"0"
"soup spoon";"395";"1";"5";"0"
"wooden spoon";"396";"1";"5";"0"
"a stack of something/stacks of something";"397";"1";"0";"0"
"the stacks";"398";"1";"0";"0"
"the odds/cards are stacked against somebody";"399";"1";"0";"0"
"stack the cards";"400";"1";"0";"0"
"stack up";"401";"3";"0";"0"
"downstream";"402";"1";"0";"0"
